DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
DOS TOROS,11,CARMINE STREET,Manhattan,10014,11 CARMINE STREET Manhattan 10014,"11 carmine street manhattan, ny 10014",Mexican,6/21/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9,A,6/21/23,12/4/23,40.7304152,-74.002201
TAKUMI TACO,570,LEXINGTON AVENUE,Manhattan,10022,570 LEXINGTON avenue Manhattan 10022,"570 lexington avenue manhattan, ny 10022",Mexican,6/6/23,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,9,A,6/6/23,12/4/23,40.756918,-73.972066
ESSEX TAQUERIA,123,ESSEX STREET,Manhattan,10002,123 ESSEX STREET Manhattan 10002,"123 essex street manhattan, ny 10002",Mexican,10/13/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,10/13/22,12/4/23,40.7195041,-73.98772
BLACK ANT,60,2 AVENUE,Manhattan,10003,60 2 avenue Manhattan 10003,"60 2nd avenue manhattan, ny 10003",Mexican,6/2/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,6/2/23,12/4/23,40.72582,-73.989678
DOS CAMINOS SOHO,475,WEST BROADWAY,Manhattan,10012,475 WEST BROADWAY Manhattan 10012,"475 west broadway manhattan, ny 10012",Mexican,3/29/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,13,A,3/29/23,12/4/23,40.7265726,-74.000202
TACO BELL,24,EAST 23 STREET,Manhattan,10010,24 east 23 STREET Manhattan 10010,"24 east 23rd street manhattan, ny 10010",Mexican,9/13/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/13/22,12/4/23,40.7407349,-73.987698
345 Cantina,345,EAST 6 STREET,Manhattan,10003,345 east 6 STREET Manhattan 10003,"345 east 6th street manhattan, ny 10003",Mexican,1/21/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,22,B,1/21/23,12/4/23,40.7269369,-73.98743
PUEBLA MEXICAN FOOD,88,ESSEX STREET,Manhattan,10002,88 ESSEX STREET Manhattan 10002,"88 essex street manhattan, ny 10002",Mexican,6/7/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,6/7/22,12/4/23,40.7181401,-73.988402
BARRIO CHINO,253,BROOME STREET,Manhattan,10002,253 BROOME STREET Manhattan 10002,"253 broome street manhattan, ny 10002",Mexican,9/8/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,0,A,9/8/22,12/4/23,40.7180304,-73.989971
IXTA,299,BOWERY,Manhattan,10003,299 BOWERY Manhattan 10003,"299 bowery manhattan, ny 10003",Mexican,4/16/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,4/16/23,12/4/23,40.7246812,-73.992391
DOS TOROS,11,CARMINE STREET,Manhattan,10014,11 CARMINE STREET Manhattan 10014,"11 carmine street manhattan, ny 10014",Mexican,6/6/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/6/22,12/4/23,40.7304152,-74.002201
CHIPOTLE MEXICAN GRILL #3641uy;,350,5 AVENUE,Manhattan,10118,350 5 avenue Manhattan 10118,"350 5th avenue manhattan, ny 10118",Mexican,4/7/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,4/7/23,12/4/23,40.7482689,-73.98469
TAQUERIA DIANA,524,9 AVENUE,Manhattan,10018,524 9 avenue Manhattan 10018,"524 9th avenue manhattan, ny 10018",Mexican,2/1/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,10,A,2/1/23,12/4/23,40.7566083,-73.99394
MI RANCHITO MEXICAN RESTAURANT,1468,ST NICHOLAS AVENUE,Manhattan,10033,1468 ST NICHOLAS avenue Manhattan 10033,"1468 saint nicholas avenue manhattan, ny 10033",Mexican,1/4/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,27,B,1/4/23,12/4/23,40.8508132,-73.932623
BREAKROOM,83,BAXTER STREET,Manhattan,10013,83 BAXTER STREET Manhattan 10013,"83 baxter street manhattan, ny 10013",Mexican,12/27/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,B,12/27/22,12/4/23,40.7167134,-73.999812
EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029,1634 LEXINGTON avenue Manhattan 10029,"1634 lexington avenue manhattan, ny 10029",Mexican,5/3/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,26,B,5/3/23,12/4/23,40.7904065,-73.947628
EL PATIO MEXICANO RESTAURANT,3764,BROADWAY,Manhattan,10032,3764 BROADWAY Manhattan 10032,"3764 broadway manhattan, ny 10032",Mexican,4/30/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A,4/30/23,12/4/23,40.8337174,-73.945115
MAMASITA BAR,818,10 AVENUE,Manhattan,10019,818 10 avenue Manhattan 10019,"818 10th avenue manhattan, ny 10019",Mexican,8/4/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,8/4/22,12/4/23,40.7674169,-73.98978
BLACK ANT,60,2 AVENUE,Manhattan,10003,60 2 avenue Manhattan 10003,"60 2nd avenue manhattan, ny 10003",Mexican,6/2/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,5,A,6/2/23,12/4/23,40.72582,-73.989678
TACOS GUEY,37,WEST 19 STREET,Manhattan,10011,37 WEST 19 STREET Manhattan 10011,"37 west 19th street manhattan, ny 10011",Mexican,3/29/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,3/29/23,12/4/23,40.7396402,-73.992678
EL CENTRO,824,9 AVENUE,Manhattan,10019,824 9 avenue Manhattan 10019,"824 9th avenue manhattan, ny 10019",Mexican,3/1/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/1/22,12/4/23,40.7661184,-73.987011
EL KALLEJON BOTANAS,209,EAST 117 STREET,Manhattan,10035,209 east 117 STREET Manhattan 10035,"209 east 117th street manhattan, ny 10035",Mexican,7/5/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,7/5/22,12/4/23,40.7984306,-73.939051
DOS TOROS,119,WEST 40 STREET,Manhattan,10018,119 WEST 40 STREET Manhattan 10018,"119 west 40th street manhattan, ny 10018",Mexican,3/23/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/23/22,12/4/23,40.7539699,-73.986028
ANEJO,668,10 AVENUE,Manhattan,10036,668 10 avenue Manhattan 10036,"668 10th avenue manhattan, ny 10036",Mexican,1/18/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,1/18/23,12/4/23,40.762773,-73.993174
EL KALLEJON BOTANAS,209,EAST 117 STREET,Manhattan,10035,209 east 117 STREET Manhattan 10035,"209 east 117th street manhattan, ny 10035",Mexican,7/5/22,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,13,A,7/5/22,12/4/23,40.7984306,-73.939051
ROSA MEXICANO,61,COLUMBUS AVENUE,Manhattan,10023,61 COLUMBUS avenue Manhattan 10023,"61 columbus avenue manhattan, ny 10023",Mexican,2/3/22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,2/3/22,12/4/23,40.7711957,-73.983328
SOL MEXICAN COCINA,220,5 AVENUE,Manhattan,10001,220 5 avenue Manhattan 10001,"220 5th avenue manhattan, ny 10001",Mexican,5/12/23,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,13,A,5/12/23,12/4/23,40.7436032,-73.988091
OFRENDA,113,7 AVENUE SOUTH,Manhattan,10014,113 7 avenue SOUTH Manhattan 10014,"113 7th avenue south manhattan, ny 10014",Mexican,4/18/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,4/18/23,12/4/23,40.7338791,-74.002634
BLUE CORN RESTAURANT,1969,AMSTERDAM AVENUE,Manhattan,10032,1969 AMSTERDAM avenue Manhattan 10032,"1969 amsterdam avenue manhattan, ny 10032",Mexican,3/10/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/10/22,12/4/23,40.8331064,-73.941837
IGUANA RESTAURANT,240,WEST 54 STREET,Manhattan,10019,240 WEST 54 STREET Manhattan 10019,"240 west 54th street manhattan, ny 10019",Mexican,3/21/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9,A,3/21/23,12/4/23,40.7642239,-73.982965
GABRIELA'S TAQUERIA,152,WEST 52 STREET,Manhattan,10019,152 WEST 52 STREET Manhattan 10019,"152 west 52th street manhattan, ny 10019",Mexican,6/12/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,6/12/23,12/4/23,40.7619977,-73.981568
THE RED GRILL MEXICAN RESTAURANT,1701,2 AVENUE,Manhattan,10128,1701 2 avenue Manhattan 10128,"1701 2nd avenue manhattan, ny 10128",Mexican,2/28/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,2/28/23,12/4/23,40.7792724,-73.950735
"LA ESQUINA ""THE CORNER""",106,KENMARE STREET,Manhattan,10012,106 KENMARE STREET Manhattan 10012,"106 kenmare street manhattan, ny 10012",Mexican,11/21/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,16,B,11/21/22,12/4/23,40.7214536,-73.997457
LA ESQUINA,1402,2 AVENUE,Manhattan,10021,1402 2 avenue Manhattan 10021,"1402 2nd avenue manhattan, ny 10021",Mexican,12/1/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,18,B,12/1/22,12/4/23,40.7693694,-73.95793
TAJIN RESTAURANT,85,GREENWICH STREET,Manhattan,10006,85 GREENWICH STREET Manhattan 10006,"85 greenwich street manhattan, ny 10006",Mexican,3/9/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,8,A,3/9/22,12/4/23,40.7077179,-74.013685
CAZUELA MEXICANA,207,EAST 117 STREET,Manhattan,10035,207 east 117 STREET Manhattan 10035,"207 east 117th street manhattan, ny 10035",Mexican,8/23/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,26,B,8/23/23,12/4/23,40.7984444,-73.939083
QUESADILLAS DONA MATY,228,EAST 116 STREET,Manhattan,10029,228 east 116 STREET Manhattan 10029,"228 east 116th street manhattan, ny 10029",Mexican,10/23/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,25,B,10/23/23,12/4/23,40.7976018,-73.939239
